::1 - - [01/Feb/2023:10:31:14 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"
::1 - - [01/Feb/2023:10:31:22 +0000] "POST / HTTP/1.1" 404 140 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:10:33:25 +0000] "POST /api/user/sign-up HTTP/1.1" 500 56 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:10:36:00 +0000] "POST /api/user/sign-up HTTP/1.1" 201 202 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:10:36:30 +0000] "POST /api/user/sign-up HTTP/1.1" 201 203 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:10:36:37 +0000] "POST /api/user/sign-up HTTP/1.1" 201 204 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:10:37:44 +0000] "POST /api/user/sign-up HTTP/1.1" 500 109 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:10:37:57 +0000] "POST /api/user/sign-up HTTP/1.1" 201 202 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:10:38:14 +0000] "POST /api/user/sign-up HTTP/1.1" 400 1083 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:10:38:21 +0000] "POST /api/user/sign-up HTTP/1.1" 201 201 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:10:39:30 +0000] "POST /api/user/sign-up HTTP/1.1" 201 203 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:10:47:17 +0000] "POST /api/user/sign-up HTTP/1.1" 201 204 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:10:58:12 +0000] "POST /api/user/sign-up HTTP/1.1" 201 248 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:10:59:13 +0000] "POST /api/user/login HTTP/1.1" 500 57 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:11:00:15 +0000] "POST /api/user/login HTTP/1.1" 500 57 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:11:01:51 +0000] "POST /api/user/login HTTP/1.1" 200 256 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:11:02:29 +0000] "POST /api/user/login HTTP/1.1" 200 83 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:11:03:48 +0000] "POST /api/user/login HTTP/1.1" 200 83 "-" "PostmanRuntime/7.30.1"
::1 - - [01/Feb/2023:11:04:11 +0000] "POST /api/user/login HTTP/1.1" 200 49 "-" "PostmanRuntime/7.30.1"
